String_Type,Window_m,Unique_Substrings_Sm,LZ77_z,Theoretical_Bound_mz,Ratio
DNA,89,351,20,1780,0.19719101123595506
Worst-Case,89,4000,616,54824,0.07296074711805049
DNA,90,355,20,1800,0.19722222222222222
Worst-Case,90,4000,616,55440,0.07215007215007214
DNA,91,359,20,1820,0.19725274725274725
Worst-Case,91,4000,616,56056,0.07135721421435708
DNA,92,363,20,1840,0.19728260869565217
Worst-Case,92,4000,616,56672,0.07058159232072275
DNA,93,367,20,1860,0.19731182795698926
Worst-Case,93,4000,616,57288,0.06982265046781176
DNA,94,371,20,1880,0.1973404255319149
Worst-Case,94,4000,616,57904,0.06907985631389886
DNA,95,376,20,1900,0.19789473684210526
Worst-Case,95,4000,616,58520,0.0683526999316473
DNA,96,381,20,1920,0.1984375
Worst-Case,96,4000,616,59136,0.06764069264069264
DNA,97,386,20,1940,0.19896907216494844
Worst-Case,97,4000,616,59752,0.06694336591243807
DNA,98,391,20,1960,0.19948979591836735
Worst-Case,98,4000,616,60368,0.06626027034190299
DNA,99,396,20,1980,0.2
Worst-Case,99,4000,616,60984,0.06559097468188377
DNA,100,401,20,2000,0.2005
Worst-Case,100,4000,616,61600,0.06493506493506493
DNA,101,406,20,2020,0.200990099009901
Worst-Case,101,4000,616,62216,0.06429214350006429
DNA,102,411,20,2040,0.20147058823529412
Worst-Case,102,4000,616,62832,0.06366182836771073
DNA,103,416,20,2060,0.20194174757281552
Worst-Case,103,4000,616,63448,0.06304375236414071
DNA,104,421,20,2080,0.20240384615384616
Worst-Case,104,4000,616,64064,0.06243756243756244
DNA,105,426,20,2100,0.20285714285714285
Worst-Case,105,4000,616,64680,0.06184291898577613
DNA,106,431,20,2120,0.20330188679245284
Worst-Case,106,4000,616,65296,0.06125949522175937
DNA,107,436,20,2140,0.20373831775700935
Worst-Case,107,4000,616,65912,0.060686976574827044
DNA,108,441,20,2160,0.20416666666666666
Worst-Case,108,4000,616,66528,0.06012506012506012
DNA,109,446,20,2180,0.20458715596330276
Worst-Case,109,4000,616,67144,0.05957345406886691
DNA,110,451,20,2200,0.205
Worst-Case,110,4000,616,67760,0.0590318772136954
DNA,111,456,20,2220,0.20540540540540542
Worst-Case,111,4000,616,68376,0.0585000585000585
DNA,112,461,20,2240,0.20580357142857142
Worst-Case,112,4000,616,68992,0.05797773654916512
DNA,113,466,20,2260,0.20619469026548673
Worst-Case,113,4000,616,69608,0.05746465923457074
DNA,114,471,20,2280,0.20657894736842106
Worst-Case,114,4000,616,70224,0.05696058327637275
DNA,115,476,20,2300,0.20695652173913043
Worst-Case,115,4000,616,70840,0.05646527385657821
DNA,116,481,20,2320,0.20732758620689656
Worst-Case,116,4000,616,71456,0.055978504254366325
DNA,117,486,20,2340,0.2076923076923077
